OrderId,AdditionalChargeSequenceNumber,ChargeDescription,ChargeAmount
000000000254,2,Mileage surcharge,9870.8
000000000257,1,Fuel surcharge,9862.1
000000000259,1,Fuel surcharge,2524.9
000000000259,2,Mileage surcharge,3504.5
000000000262,1,Fuel surcharge,8923.6
000000000263,1,Fuel surcharge,6686.3
000000000264,1,Fuel surcharge,5560.3
000000000266,1,Fuel surcharge,5867.7
000000000266,2,Mileage surcharge,865.6
000000000267,1,Fuel surcharge,7795.9
000000000270,1,Fuel surcharge,7541.8
000000000270,2,Mileage surcharge,9255.7
000000000271,1,Fuel surcharge,639.4
000000000272,1,Fuel surcharge,8270.3
000000000274,1,Fuel surcharge,506.8
000000000275,1,Fuel surcharge,8302.4
000000000276,1,Fuel surcharge,1674.1
000000000277,1,Fuel surcharge,6518.7
000000000277,2,Mileage surcharge,2896.9
000000000278,1,Fuel surcharge,8040
000000000279,1,Fuel surcharge,5120.3
000000000279,2,Mileage surcharge,1135.1
000000000280,1,Fuel surcharge,7510.4
000000000280,2,Mileage surcharge,7225.5
000000000281,1,Fuel surcharge,3617.9
000000000283,1,Fuel surcharge,6481.7
000000000283,2,Mileage surcharge,9994.5
000000000285,1,Fuel surcharge,8004.2
000000000286,1,Fuel surcharge,2598.9
000000000286,2,Mileage surcharge,2659.3
000000000287,1,Fuel surcharge,9369.9
000000000289,1,Fuel surcharge,829.1
000000000290,1,Fuel surcharge,2927.2
000000000292,1,Fuel surcharge,9963.5
000000000294,1,Fuel surcharge,8118.4
000000000295,1,Fuel surcharge,8062.5
000000000295,2,Mileage surcharge,5681.2
000000000297,1,Fuel surcharge,7693.4
000000000297,2,Mileage surcharge,1800.2
000000000298,1,Fuel surcharge,6181.7
000000000299,1,Fuel surcharge,88.3
000000000300,1,Fuel surcharge,8641.6
000000000302,1,Fuel surcharge,2832.9
000000000302,2,Mileage surcharge,2525.9
000000000306,1,Fuel surcharge,99.4
000000000306,2,Mileage surcharge,8148.9
000000000307,1,Fuel surcharge,5079.4
000000000307,2,Mileage surcharge,4847.8
000000000308,1,Fuel surcharge,1675.5
000000000309,1,Fuel surcharge,8163
000000000310,1,Fuel surcharge,92.7
000000000310,2,Mileage surcharge,6953.5
000000000311,1,Fuel surcharge,4781
000000000311,2,Mileage surcharge,5554.6
000000000312,1,Fuel surcharge,8578.2
000000000312,2,Mileage surcharge,9928.4
000000000316,1,Fuel surcharge,9367.7
000000000318,1,Fuel surcharge,710.4
000000000318,2,Mileage surcharge,4928.5
000000000319,1,Fuel surcharge,4347.5
000000000319,2,Mileage surcharge,5265.7
000000000320,1,Fuel surcharge,3656.6
000000000321,1,Fuel surcharge,9656.8
000000000323,1,Fuel surcharge,1254
000000000324,1,Fuel surcharge,8892.1
000000000324,2,Mileage surcharge,2466.2
000000000325,1,Fuel surcharge,2122.6
000000000326,1,Fuel surcharge,3675.8
000000000327,1,Fuel surcharge,1252.4
000000000327,2,Mileage surcharge,9184
000000000328,1,Fuel surcharge,6135.9
000000000330,1,Fuel surcharge,2061.8
000000000330,2,Mileage surcharge,3055.5
000000000331,1,Fuel surcharge,3789.5
000000000332,1,Fuel surcharge,3511.4
000000000332,2,Mileage surcharge,1787
000000000333,1,Fuel surcharge,4062.5
000000000334,1,Fuel surcharge,7843.5
000000000335,1,Fuel surcharge,4566.6
000000000336,1,Fuel surcharge,4135.3
000000000336,2,Mileage surcharge,2135.9
000000000337,1,Fuel surcharge,2273.6
000000000338,1,Fuel surcharge,9750.9
000000000338,2,Mileage surcharge,194
000000000339,1,Fuel surcharge,8216.4
000000000340,1,Fuel surcharge,2750.1
000000000340,2,Mileage surcharge,4382.4
000000000342,1,Fuel surcharge,4397.3
000000000342,2,Mileage surcharge,7502.1
000000000343,1,Fuel surcharge,8982.7
000000000344,1,Fuel surcharge,9603.1
000000000346,1,Fuel surcharge,5699.1
000000000346,2,Mileage surcharge,2784.9
000000000347,1,Fuel surcharge,7840
000000000347,2,Mileage surcharge,9407.9
000000000348,1,Fuel surcharge,3864.7
000000000348,2,Mileage surcharge,9249.7
000000000350,1,Fuel surcharge,2855.6
000000000351,1,Fuel surcharge,1904.5
000000000351,2,Mileage surcharge,9419.3
000000000352,1,Fuel surcharge,7073.3
000000000353,1,Fuel surcharge,1614.7
000000000354,1,Fuel surcharge,4214.2
000000000354,2,Mileage surcharge,8581.5
000000000356,1,Fuel surcharge,6617.7
000000000360,1,Fuel surcharge,4090.6
000000000365,1,Fuel surcharge,8625.2
000000000365,2,Mileage surcharge,7577.5
000000000366,1,Fuel surcharge,1473.4
000000000367,1,Fuel surcharge,9275
000000000367,2,Mileage surcharge,6073.5
000000000368,1,Fuel surcharge,5734.9
000000000368,2,Mileage surcharge,2716.6
000000000369,1,Fuel surcharge,1925.2
000000000369,2,Mileage surcharge,5798.9
000000000371,1,Fuel surcharge,4455.5
000000000372,1,Fuel surcharge,5276.1
000000000375,1,Fuel surcharge,5007.3
000000000376,1,Fuel surcharge,6426.6
000000000377,1,Fuel surcharge,7543.4
000000000378,1,Fuel surcharge,1272
000000000378,2,Mileage surcharge,5076.7
000000000380,1,Fuel surcharge,9528.8
000000000381,1,Fuel surcharge,6302.6
000000000383,1,Fuel surcharge,3428.9
000000000384,1,Fuel surcharge,2987.6
000000000384,2,Mileage surcharge,7306.8
000000000385,1,Fuel surcharge,5070.8
000000000385,2,Mileage surcharge,568.7
000000000386,1,Fuel surcharge,8836.8
000000000388,1,Fuel surcharge,8165.2
000000000388,2,Mileage surcharge,8609.1
000000000389,1,Fuel surcharge,4453.9
000000000391,1,Fuel surcharge,2355.3
000000000394,1,Fuel surcharge,2063.2
000000000394,2,Mileage surcharge,5160.1
000000000395,1,Fuel surcharge,5423.3
000000000395,2,Mileage surcharge,3887
000000000396,1,Fuel surcharge,1902
000000000397,1,Fuel surcharge,6300.4
000000000397,2,Mileage surcharge,3294
000000000401,1,Fuel surcharge,1070.1
000000000402,1,Fuel surcharge,7397.6
000000000402,2,Mileage surcharge,4154
000000000403,1,Fuel surcharge,209.2
000000000403,2,Mileage surcharge,1981.9
000000000405,1,Fuel surcharge,9683.9
000000000405,2,Mileage surcharge,8120.3
000000000406,1,Fuel surcharge,1909.6
000000000408,1,Fuel surcharge,7991.9
000000000409,1,Fuel surcharge,8432
000000000410,1,Fuel surcharge,3922.7
000000000413,1,Fuel surcharge,7668.1
000000000413,2,Mileage surcharge,8471
000000000414,1,Fuel surcharge,6618.9
000000000414,2,Mileage surcharge,5592.8
000000000415,1,Fuel surcharge,8009.8
000000000416,1,Fuel surcharge,1104.3
000000000416,2,Mileage surcharge,5455.9
000000000417,1,Fuel surcharge,604.5
000000000418,1,Fuel surcharge,798.6
000000000420,1,Fuel surcharge,2202.3
000000000422,1,Fuel surcharge,1759.5
000000000423,1,Fuel surcharge,9547.4
000000000429,1,Fuel surcharge,5580.6
000000000429,2,Mileage surcharge,3749.2
000000000430,1,Fuel surcharge,2965.7
000000000430,2,Mileage surcharge,723.7
000000000431,1,Fuel surcharge,5025.2
000000000432,1,Fuel surcharge,9385.9
000000000432,2,Mileage surcharge,7286.2
000000000433,1,Fuel surcharge,7336.1
000000000433,2,Mileage surcharge,9554.3
000000000434,1,Fuel surcharge,8619.2
000000000435,1,Fuel surcharge,6997.5
000000000435,2,Mileage surcharge,8640.1
000000000436,1,Fuel surcharge,4482.7
000000000437,1,Fuel surcharge,1249.5
000000000437,2,Mileage surcharge,101.4
000000000438,1,Fuel surcharge,6864.3
000000000440,1,Fuel surcharge,7306.9
000000000440,2,Mileage surcharge,954.9
000000000441,1,Fuel surcharge,7066.8
000000000442,1,Fuel surcharge,2767.3
000000000443,1,Fuel surcharge,7968.6
000000000443,2,Mileage surcharge,5683.9
000000000444,1,Fuel surcharge,2651.1
000000000444,2,Mileage surcharge,3778.4
000000000446,1,Fuel surcharge,4859.7
000000000446,2,Mileage surcharge,315.7
000000000448,1,Fuel surcharge,7263.2
000000000448,2,Mileage surcharge,9934
000000000449,1,Fuel surcharge,1035.2
000000000450,1,Fuel surcharge,8408.5
000000000451,1,Fuel surcharge,5762
000000000453,1,Fuel surcharge,4055.9
000000000453,2,Mileage surcharge,8154.9
000000000454,1,Fuel surcharge,4635.1
000000000454,2,Mileage surcharge,91.4
000000000456,1,Fuel surcharge,6404.4
000000000456,2,Mileage surcharge,4552.2
000000000457,1,Fuel surcharge,5058.1
000000000457,2,Mileage surcharge,9192.6
000000000458,1,Fuel surcharge,1869
000000000458,2,Mileage surcharge,2780.2
000000000460,1,Fuel surcharge,3211.4
000000000460,2,Mileage surcharge,1516
000000000462,1,Fuel surcharge,283.8
000000000462,2,Mileage surcharge,8085.8
000000000463,1,Fuel surcharge,369.4
000000000469,1,Fuel surcharge,2543
000000000469,2,Mileage surcharge,5675.6
000000000471,1,Fuel surcharge,5930.2
000000000471,2,Mileage surcharge,4451.9
000000000472,1,Fuel surcharge,1759.2
000000000472,2,Mileage surcharge,9196.7
000000000475,1,Fuel surcharge,7293.3
000000000476,1,Fuel surcharge,4048.6
000000000478,1,Fuel surcharge,6946.1
000000000479,1,Fuel surcharge,2383.3
000000000479,2,Mileage surcharge,3075.7
000000000481,1,Fuel surcharge,7315.2
000000000481,2,Mileage surcharge,877.2
000000000483,1,Fuel surcharge,336.5
000000000483,2,Mileage surcharge,2341.2
000000000484,1,Fuel surcharge,6812.6
000000000485,1,Fuel surcharge,4801.1
000000000486,1,Fuel surcharge,8926.8
000000000486,2,Mileage surcharge,5778.4
000000000487,1,Fuel surcharge,777.4
000000000488,1,Fuel surcharge,2792.1
000000000489,1,Fuel surcharge,2556.1
000000000490,1,Fuel surcharge,4878.2
000000000491,1,Fuel surcharge,4505.7
000000000491,2,Mileage surcharge,3853.5
000000000492,1,Fuel surcharge,5917.6
000000000492,2,Mileage surcharge,5459.8
000000000493,1,Fuel surcharge,5405.6
000000000493,2,Mileage surcharge,4576.2
000000000495,1,Fuel surcharge,9558.8
000000000496,1,Fuel surcharge,8930.4
000000000496,2,Mileage surcharge,1388.9
000000000497,1,Fuel surcharge,4381.9
000000000497,2,Mileage surcharge,6307.9
000000000498,1,Fuel surcharge,6498.1
000000000499,1,Fuel surcharge,5074.8
000000000500,1,Fuel surcharge,796.5
